bond_length_A,vqe_energy_Ha,fci_energy_Ha,error_Ha
2.999999999999999889e-01,-6.018037084200603681e-01,-6.018037098459377843e-01,1.425877416139087472e-09
4.000000000000000222e-01,-9.141497021875446549e-01,-9.141497040680388597e-01,1.880494204797855673e-09
5.000000000000000000e-01,-1.055159791927220203e+00,-1.055159794205896340e+00,2.278676136668877916e-09
6.000000000000000888e-01,-1.116286003549563199e+00,-1.116286006836114231e+00,3.286551031322915151e-09
6.999999999999999556e-01,-1.136189450510689092e+00,-1.136189454218910155e+00,3.708221063547512131e-09
8.000000000000000444e-01,-1.134147662618518515e+00,-1.134147666974507640e+00,4.355989124960046865e-09
9.000000000000001332e-01,-1.120560276586843429e+00,-1.120560281706495687e+00,5.119652257690177066e-09
1.000000000000000000e+00,-1.101150323398746300e+00,-1.101150330729932847e+00,7.331186546721824016e-09
1.100000000000000089e+00,-1.079192937457106316e+00,-1.079192945555932148e+00,8.098825832192346752e-09
1.199999999999999956e+00,-1.056740738433807003e+00,-1.056740746988450663e+00,8.554643660119154447e-09
1.300000000000000044e+00,-1.035186257188677628e+00,-1.035186267219199374e+00,1.003052174652907524e-08
1.400000000000000133e+00,-1.015468239595321176e+00,-1.015468250174847320e+00,1.057952614402779545e-08
1.500000000000000222e+00,-9.981493445096212280e-01,-9.981493544548296626e-01,9.945208434558594490e-09
1.600000000000000089e+00,-9.834727188368208584e-01,-9.834727301064170035e-01,1.126959614516920283e-08
1.700000000000000178e+00,-9.714266783512863768e-01,-9.714266896142984553e-01,1.126301207854396580e-08
1.800000000000000044e+00,-9.618169423093654302e-01,-9.618169540248269200e-01,1.171546148981406077e-08
1.900000000000000133e+00,-9.543388379779885744e-01,-9.543388553012612796e-01,1.732327270520528373e-08
2.000000000000000000e+00,-9.486410857650395823e-01,-9.486411135429946295e-01,2.777795504727009757e-08
2.100000000000000089e+00,-9.443746397068333298e-01,-9.443746825444104820e-01,4.283757715217717532e-08
2.200000000000000178e+00,-9.412239702326903323e-01,-9.412240351691063545e-01,6.493641602212107955e-08
2.299999999999999822e+00,-9.389222891321797881e-01,-9.389223875074615977e-01,9.837528180955956714e-08
2.399999999999999911e+00,-9.372548038199902676e-01,-9.372549545675045168e-01,1.507475142492609166e-07
2.500000000000000000e+00,-9.360546859211091864e-01,-9.360549215449781579e-01,2.356238689715794976e-07
